List (merge),Link,SteamID,Included when searching,Other keywords,Federico's vote,Linas' vote,Simone's vote,Federica's vote,Final decision,potential for decentering,Instructions:,,,,,,Federico's list
Agonik,https://store.steampowered.com/app/2294910/Fish_Simulator_Agonik_Lake/,2294910,Survival,,Yes,yes,,Yes,Yes,,"Only fill in the ""List"" column here (final merge of possible games) and then vote in the sheet with your name.",,,,,,Agonik
AgriLife,https://store.steampowered.com/app/1803020/AgriLife/,1803020,"Strategy, sandbox",,No,no,,No,No,,Vote with 'Yes' or 'No'.,,,,,,AgriLife
APICO,https://store.steampowered.com/app/1390190/APICO/,1390190,Sandbox,,Yes,yes,Yes,No,Yes,laid-back beekeeping,If a game is already present just add your keyword.,,,,,,BigEarth
Ardarium,https://store.steampowered.com/app/1737200/Ardarium/,1737200,Sandbox,,Yes,yes,,Yes,Yes,"plants, animals, and humans in this casual sandbox game about nature and life.",Votes are going to appear here automatically.,,,,,,Biomisland
Bee Simulator,https://store.steampowered.com/app/914750/Bee_Simulator/,914750,Snowballed,Education,Yes,yes,,Yes,Yes,"collect pollen, defy dangerous wasps and save your hive",Please watch videos of the games especially when in doubt.,,,,,,Coral Cove
Big Earth,https://store.steampowered.com/app/1612100/Big_Earth/,1612100,Strategy,,Yes,yes,Yes,No,Yes,"post-apocalyptic future where Earth's resources have been consumed,",,,,,,,Crab God
Biomisland,https://store.steampowered.com/app/1956670/Biomisland/,1956670,Strategy,,Yes,yes,,Yes,Yes,restore nature,,,,,,,Eco
Bird,https://store.steampowered.com/app/1539580/Bird/,1539580,"Sandbox, Atmospheric",,No,yes,yes,Yes,Yes,,,,,,,,Ecosystem
Cambrian Dawn,https://store.steampowered.com/app/2211500/Cambrian_Dawn/,2211500,Sandbox,,Yes,yes,,Yes,Yes,,,,,,,,Endling
Capybara Spa,https://store.steampowered.com/app/1822910/Capybara_Spa/,1822910,Sandbox,,No,no,no,No,No,,,,,,,,Growth
Cloud Gardens,https://store.steampowered.com/app/1372320/Cloud_Gardens/,1372320,"Sandbox, Atmospheric",,Yes,yes,yes,No,Yes,overgrow abandoned wasteland dioramas,,,,,,,Harmonic depths
Coral Cove,https://store.steampowered.com/app/1919350/Coral_Cove/,1919350,"Strategy, Atmospheric",,No,yes,yes,Yes,Yes,,,,,,,,Heliotropism
Crab God,https://store.steampowered.com/app/2289390/Crab_God/,2289390,"Survival, Strategy, Atmospheric, Resource Management",,Yes,yes,,Yes,Yes,"Restore and protect diverse coral reefs, making a difference in the real world",,,,,,,King of Water
Creatures Docking Station,https://store.steampowered.com/app/1659050/Creatures_Docking_Station/,1659050,"Sandbox, Atmospheric",,No,yes,no,No,No,,,,,,,,Laysara
Eco,https://store.steampowered.com/app/382310/Eco/,382310,"Survival, Resource Management",,Yes,yes,,Yes,Yes,without destroying the ecosystem in the process.,,,,,,,Lost paws
Ecosystem,https://store.steampowered.com/app/1133120/Ecosystem/,1133120,"Sandbox, Strategy, Resource Management",,No,yes,yes,Yes,Yes,,,,,,,,Morels: the hunt 1
Endling,https://store.steampowered.com/app/898890/Endling__Extinction_is_Forever/,898890,"Survival, Atmospheric",,Yes,yes,,Yes,Yes,,,,,,,,Morels: the hunt 2
